file;sent_id;source;cue;content;polarity;sent_text;negation;certainty;negation_NLTK;group;centroid
@berkeleywellness_20170709T195103;13;an article ;predicting ;that this could become the epicenter of measles outbreak ;positive;He wrote an article predicting that this could become the epicenter of measles outbreak .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
@berkeleywellness_20170709T195104;52;the mother ;convinced ;that the vaccine caused the seizure ;positive;If my wife had given that vaccine 5 minutes earlier , the mother would have been convinced that the vaccine caused the seizure .;Confirm;certain;Confirm;1;vaccines can cause autism 
@berkeleywellness_20170709T195105;53;who ;says ;â I saw what I saw . â ;positive;You could present reams of scientific data showing that that particular vaccine does n’t increase the risk of seizures , but it ’s hard to convince a mother who says , “ I saw what I saw . ”;Confirm;certain;Confirm;3;it was like I was a completely different baby afterwards 
@berkeleywellness_20170709T195106;62;that ;refused ;to vaccinate their children ;positive;In 1991 , in Philadelphia , where I live , an outbreak of measles began that was centered around two fundamentalist churches that refused to vaccinate their children .;Confirm;certain;Confirm;8;not to vaccinate their children at all 
@berkeleywellness_20170709T195107;69;me ;seems ;It quite the opposite ;positive;It seems to me quite the opposite .;Confirm;uncertain;Confirm;2;others for every little thing 
@berkeleywellness_20170709T195108;77;people ;ignore ;the evidence ;positive;What I do n’t respect is when hundreds of millions of dollars are spent for studies that show that those fears are ungrounded , and people ignore the evidence and put their children at risk .;Confirm;uncertain;Confirm;14;that there is no evidence of a link 
@berkeleywellness_20170709T195109;78;we ;belief ;that we can master anything ;positive;In the 21st century , we ’re of the belief that we can master anything .;Confirm;uncertain;Confirm;2;others for every little thing 
@berkeleywellness_20170709T195110;81;you ;decide ;whether to give your child the chickenpox vaccine ;positive;Let ’s say you ’re trying to decide whether to give your child the chickenpox vaccine .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
@berkeleywellness_20170709T195111;89;you ;want ;the best medical advice ;positive;But in fact , if you want the best medical advice , turn to the experts .;Confirm;certain;Confirm;3;it was like I was a completely different baby afterwards 
@berkeleywellness_20170709T195112;97;you ;compel ;to do what âs right ;positive;Then you need to compel people to do what ’s right .;Confirm;uncertain;Confirm;3;it was like I was a completely different baby afterwards 
@berkeleywellness_20170709T195113;99;You ;require ;to do it ;positive;You require them to do it .;Confirm;certain;Confirm;0;to how he was invited to an inaugural ball 
@berkeleywellness_20170709T195114;102;we ;know ;it will save lives ;positive;We compel people to do it because we know it will save lives .;Confirm;certain;Confirm;8;not to vaccinate their children at all 
@berkeleywellness_20170709T195115;103;we ;know ;that vaccinations will save many , many lives ;positive;And we know that vaccinations will save many , many lives .;Confirm;certain;Confirm;13;to get their children vaccinated 
ABC-News_20170511T203024;1;the World Health Organization ;promote ;the use of vaccines ;positive;"This week , the World Health Organization kicks off World Immunization Week "" to promote the use of vaccines to protect people of all ages against disease . """;Confirm;certain;Confirm;9;about his vaccines 
ABC-News_20170511T203024;26;the AAP ;according to ;Just two years earlier , Washington state reported 2,530 cases ;positive;Just two years earlier , Washington state reported 2,530 cases , according to the AAP .;Confirm;certain;Confirm;6;the quick response prevented the outbreak from getting worse 
AGE-OF-AUTISM_20170620T044415;68;I ;realize ;that not every mother is able to breastfeed ;positive;( I realize that not every mother is able to breastfeed .;Deny;certain;Deny;13;to get their children vaccinated 
AGE-OF-AUTISM_20170620T044415;89;the U.S. Supreme Court ;declared ;vaccines to be unavoidably unsafe â ;negative;"Additionally , the U.S. Supreme Court has officially and legally declared vaccines to be "" unavoidably unsafe ” .";Confirm;certain;Confirm;9;about his vaccines 
AGE-OF-AUTISM_20170620T044415;140;A warning ;: ;Beware of those well-baby appointments ;negative;"A warning , one I wish had been issued to me back in 1992 : Beware of those "" well-baby "" appointments .";Confirm;certain;Confirm;6;the quick response prevented the outbreak from getting worse 
AGE-OF-AUTISM_20170620T044415;150;the many pants on fire news outlets ;according to ;school immunization rates were down last fall ;positive;Also , since Dr. William Thompson 's confession about the MMR study being manipulated school immunization rates were down last fall ( according to the many pants on fire news outlets ) so there were most likely a lot of kids from the US who did n't have that booster shot last fall and I ca n't see all the parents getting those adult boosters .;Confirm;certain;Deny;13;to get their children vaccinated 
AGE-OF-AUTISM_20170620T044415;177;I ;loved ;the article ;positive;I loved the article .;Confirm;certain;Confirm;14;that there is no evidence of a link 
AGE-OF-AUTISM_20170620T044415;207;Dr Iannelli Vincent ;pointed out ;that the measles viral strain is genotype B3 virus ;positive;Dr Iannelli Vincent pointed out that the measles viral strain is genotype B3 virus .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
AGE-OF-AUTISM_20170620T044415;250;I ;believe ;that measles is a serious health threat ;positive;"he warned that due to factors that most have n’t noticed , measles has come back to be a serious public health threat "" - First , I do n't believe that measles is a serious health threat .";Confirm;certain;Deny;11;measles eradicated from the U.S. 
AGE-OF-AUTISM_20170620T044415;252;the CDC ;stating ;that the vaccines cause damages ;positive;Dr. William Thompson stated that he fully support vaccines BUT this is the fraud that the CDC committed stating that the vaccines cause damages .;Confirm;certain;Confirm;1;vaccines can cause autism 
AGE-OF-AUTISM_20170620T044415;254;he ;stated ;what those factors are ;negative;"When Poland wrote : "" he warned that due to factors that most have n’t noticed "" , he never stated what those factors are .";Confirm;uncertain;Deny;7;that there is no increased risk for these concerns 
AGE-OF-AUTISM_20170620T044415;258;I ;think ;Poland has been saying it without saying it ;positive;"It 's pointless to mull over why he remains silent but guilt has a way of seeping out and I think Poland has been saying it without saying it . """;Confirm;certain;Deny;2;others for every little thing 
AGE-OF-AUTISM_20170620T044415;280;Some healthy looking Welsh children ;saying ;how terrible their measles experiences were ;positive;Some healthy looking Welsh children were interviewed on TV saying how terrible their measles experiences were , but statistically less than a fifth of those notified measles cases were actually lab confirmed , and I 'm suspicious about those too .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
AGE-OF-AUTISM_20170620T044415;289;I ;think ;most people would regard this as medical negligence ;positive;I think most people would regard this as medical negligence .;Confirm;certain;Confirm;4;the questions citizens of the world should be asking 
AGE-OF-AUTISM_20170620T044415;291;by the Welsh Authorities ;stated ;Gareth to have had measles ;positive;Later Gareth was stated to have had measles , by the Welsh Authorities , who have manipulated this death as a measles death in official statistics .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
AGE-OF-AUTISM_20170620T044415;301;I ;believe ;her word over those Welsh spokespersons any day ! ;positive;I would believe her word over those Welsh spokespersons any day !;Confirm;certain;Confirm;2;others for every little thing 
Activist-Post_20170704T090503;14;an article published in the American Journal of Epidemiology titled , â A persistent outbreak of measles despite appropriate prevention and control measures , â ;According to ;an outbreak of 137 cases of measles occurred in Montana ;negative;1 1985 , Montana , USA : According to an article published in the American Journal of Epidemiology titled , “ A persistent outbreak of measles despite appropriate prevention and control measures , ” an outbreak of 137 cases of measles occurred in Montana .;Confirm;certain;Deny;11;measles eradicated from the U.S. 
Activist-Post_20170704T090503;22;UNICEF and the Bill & Melinda Gates Foundation ;label ;as â liars â or â child killers , â ;positive;UNICEF and the Bill & Melinda Gates Foundation can continue to label those who bring the peer-reviewed “ evidence ” to the public ’s attention as “ liars ” or “ child killers , ” as Bill Gates did in a CNN interview with Dr. Sanjay Gupta .;Confirm;uncertain;Confirm;13;to get their children vaccinated 
Ars-Technica_20170629T055731;6;research ;concluded ;that autism rates were not unusually high in the community ;negative;Though research later concluded that autism rates were not unusually high in the community , anti-vaccination activists pounced on the panic .;Deny;certain;Deny;1;vaccines can cause autism 
Ars-Technica_20170629T055731;16;people from the state public health department ;saying ;that [ vaccines ] are safe ;negative;“ When you hear people from the state public health department saying there is no risk , that [ vaccines ] are safe , this is the sort of thing that should cause you to be skeptical ” Blaxill said .;Confirm;certain;Confirm;9;about his vaccines 
Ars-Technica_20171003T014942;5;The study âs authors , led by psychologist Theodore Tomeny of the University of Alabama , ;say ;the rise is worrying ;negative;The study ’s authors , led by psychologist Theodore Tomeny of the University of Alabama , say the rise is worrying .;Confirm;certain;Confirm;7;that there is no increased risk for these concerns 
Ars-Technica_20171003T014942;8;Tomeny and colleagues ;suggest ;online interventions ;negative;Tomeny and colleagues also suggest online interventions , such as a Twitterbot that scans for dangerous tweets and auto-replies with factual health information .;Confirm;certain;Confirm;1;vaccines can cause autism 
Ars-Technica_20171003T014942;31;the authors ;argue ;Still data has value ;negative;Still , the authors argue , the data has value .;Confirm;certain;Confirm;7;that there is no increased risk for these concerns 
Atlas-Monitor_20160703T084322;2;The establishment media ;suggested ;the government should force you to take them ;positive;Videos : The Dangers of Vaccines Infowars.com | February 3 , 2015 The establishment media is desperately pushing the myth that vaccines are completely safe and effective and have even suggested the government should force you to take them .;Confirm;certain;Confirm;5;you go see it if you can 
BBC-News_20161119T015125;3;The Global Alliance for Rabies Control ;said ;mass vaccination could make rabies history ;positive;"The Global Alliance for Rabies Control said mass vaccination could "" make rabies history "" .";Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
BBC-News_20161119T015125;4;The organisation HealthforAnimals ;argued ;protecting dogs was the most cost-effective way to protect people ;positive;The organisation HealthforAnimals argued protecting dogs was the most cost-effective way to protect people .;Confirm;certain;Confirm;2;others for every little thing 
Backyard-Secret-Exposed_20161021T055227;18;many parents ;blaming ;which their child âs regression into autism ;positive;What Andy had recommended was that parents vaccinate their children with the single Measles , single Mumps , and single Rubella vaccines instead of the triple MMR vaccine , which many parents were blaming for their child ’s regression into autism .;Confirm;uncertain;Confirm;1;vaccines can cause autism 
Backyard-Secret-Exposed_20161021T055227;36;I ;suppose ;it âs one of our great human flaws ;negative;I suppose it ’s one of our great human flaws .;Confirm;certain;Confirm;2;others for every little thing 
Backyard-Secret-Exposed_20161021T055227;50;I ;doubt ;it will be pretty ;positive;I honestly ca n’t imagine the things they will say about me but I doubt it will be pretty .;Confirm;uncertain;Confirm;3;it was like I was a completely different baby afterwards 
Banning-Beaumont-CA-Patch_20150812T082915;15;the Centers for Disease Control ;according to ;There are 173 cases reported in 17 states this year ;positive;There are 173 cases reported in 17 states this year , according to the Centers for Disease Control .;Confirm;certain;Confirm;6;the quick response prevented the outbreak from getting worse 
Banning-Beaumont-CA-Patch_20150812T082915;21;the CDC ;according to ;In most cases , the victims were unvaccinated ;positive;In most cases , the victims were unvaccinated , according to the CDC .;Confirm;certain;Confirm;13;to get their children vaccinated 
CIDRAP_20161223T092534;2;the US Centers for Disease Control and Prevention ( CDC ) ;said ;immunization rates are high for the nation 's infants ;negative;In two reports issued today , the US Centers for Disease Control and Prevention ( CDC ) also said immunization rates are high for the nation 's infants .;Confirm;certain;Confirm;8;not to vaccinate their children at all 
CIDRAP_20161223T092534;15;She ;said ;the CDC applauds states for making exemption information routinely available ;positive;"She said the CDC applauds states for making exemption information routinely available . """;Confirm;certain;Confirm;4;the questions citizens of the world should be asking 
CIDRAP_20161223T092534;20;the new report ;According to ;coverage remains high and at levels seen the previous year ;negative;According to the new report , coverage remains high and at levels seen the previous year .;Confirm;certain;Confirm;7;that there is no increased risk for these concerns 
CNN_20170808T234859;10;the American Academy of Pediatrics ;according to ;Delaying vaccines does not offer any known benefits to children ;negative;Delaying vaccines does not offer any known benefits to children , according to the American Academy of Pediatrics ( PDF ) .;Deny;certain;Deny;9;about his vaccines 
CNN_20170808T234859;14;nearly 88 % of pediatricians ;said ;they receive a request each day to delay a vaccine ;positive;A recent study ( PDF ) found that nearly 88 % of pediatricians said they receive a request each day to delay a vaccine .;Confirm;certain;Confirm;10;when they may get chickenpox vaccine 
CNN_20170808T234859;18;their parents ;believing ;it unnecessary ;negative;Pediatricians also report that 8.6 % of their parents ( PDF ) , concerned about safety or believing it unnecessary , refuse at least one vaccine .;Confirm;certain;Confirm;6;the quick response prevented the outbreak from getting worse 
CNN_20170808T234859;23;Some ;worry ;about a preservative called thimerosal ;positive;Some worry too about a preservative called thimerosal , which contained a very low concentration of a mercury compound .;Confirm;certain;Confirm;1;vaccines can cause autism 
CNN_20170808T234859;27;some children ;complain ;that their arms feel sore or experience a mild fever ;positive;For example , after being given a shot , some children will complain that their arms feel sore or experience a mild fever .;Confirm;certain;Confirm;12;the latter seemed more like a common cold 
CNN_20170928T102949;28;health care providers statewide ;recommend ;an early second dose during routine appointments for children ;positive;Additionally , health care providers statewide may recommend an early second dose during routine appointments for children .;Confirm;certain;Confirm;13;to get their children vaccinated 
CNN_20170928T102949;40;the CDC ;according to ;the disease was eliminated in the US in 2000 ;positive;"Although measles is still common in many parts of the world -- including countries in Europe , Asia and Africa -- the disease was eliminated in the US in 2000 , according to the CDC . """;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
Carrington_20170630T081323;42;which ;suggested ;that the measles-mumps-rubella ( MMR ) vaccine might cause autism ;positive;The reason for these claims is a 1998 study , which suggested that the measles-mumps-rubella ( MMR ) vaccine might cause autism .;Confirm;uncertain;Confirm;1;vaccines can cause autism 
Child-Health-Safety_20170626T115833;13;two official sources of data ;ensure ;there is no doubt ;negative;And two official sources of data have been used to ensure there is no doubt .;Confirm;uncertain;Confirm;14;that there is no evidence of a link 
Child-Health-Safety_20170626T115833;26;health officials ;promote ;vaccination against diphtheria ;positive;So what this also of course means is that health officials promote vaccination against diphtheria when the vaccination appears most unlikely as a cause of the decline in diphtheria .;Confirm;uncertain;Confirm;10;when they may get chickenpox vaccine 
Child-Health-Safety_20170626T115833;61;government agencies and officials ;lie ;about pretty much anything ;positive;Also ask yourself , how often do government agencies and officials lie publicly about pretty much anything .;Confirm;certain;Confirm;2;others for every little thing 
Child-Health-Safety_20170626T115833;63;Some of these anonymous individuals ;deny ;they are paid ;positive;Some of these anonymous individuals are commenting full time daily across numerous blogs and news sites across the internet but deny they are paid .;Confirm;certain;Confirm;13;to get their children vaccinated 
Child-Health-Safety_20170626T115833;73;they ;believe ;it is a possible diagnosis.Doctors ;positive;Doctors substantially overdiagnose measles cases especially when they believe it is a possible diagnosis.Doctors were told the vaccine prevented children getting measles when introduced in the late 1960 ’s so after that time a substantial reduction in diagnoses would be expected .;Confirm;certain;Confirm;6;the quick response prevented the outbreak from getting worse 
Child-Health-Safety_20170626T115833;100;they ;believe ;it controlled by vaccination ;positive;Official UK records for 2006 show that when doctors are looking for a disease , they overdiagnose suspected measles cases varying by 10 times to 74 times higher than is confirmed by laboratory testing : [ 74 times overdiagnosed SOURCE : CDR Weekly , Volume 15 Number 12 Published : 24 March 2005 ] , [ 10 times overdiagnosed , CDR Weekly , PHLS 12:26 ] , [ 15.6 times overdiagnosed , SOURCE : CDR Weekly , Volume 16 Number 12 Published on : 23 March 2006 ] Correspondingly , when vaccination was introduced , they will tend to follow the fashion of not diagnosing measles , where they believe it controlled by vaccination .;Confirm;certain;Deny;8;not to vaccinate their children at all 
Child-Health-Safety_20170626T115833;105;evidence ;showing ;adverse reaction data are suppressed ;negative;They are also unable to explain the exact risks because data on adverse reactions are not being collected properly or at all , and there is evidence showing adverse reaction data are suppressed .;Confirm;certain;Deny;7;that there is no increased risk for these concerns 
Child-Health-Safety_20170626T115833;127;DANISH MEDICAL BULLETIN MARCH 1987 â WAVES Vol . 11 No. 4 p. 21 ;: ;92 % of rubella cases deliver normal healthy children ;negative;Additionally , 92 % of rubella cases deliver normal healthy children : DANISH MEDICAL BULLETIN MARCH 1987 – WAVES Vol .;Confirm;certain;Confirm;13;to get their children vaccinated 
Child-Health-Safety_20170626T115833;150;British Journal of Nursing October 1948 p121 ;: ;969,000 children under 5 were â immunised â ;positive;969,000 children under 5 were “ immunised ” : British Journal of Nursing October 1948 p121 .;Confirm;certain;Confirm;8;not to vaccinate their children at all 
Child-Health-Safety_20170626T115833;215;Several ;said ;they were entitled to ;positive;Several sneered and said they were entitled to !;Confirm;certain;Confirm;0;to how he was invited to an inaugural ball 
Child-Health-Safety_20170626T115833;240;they ;said ;that the USA would fold without the slave trade â¦ ;negative;I am a Quaker and in our advices and queries ( not a creed or dogma ) one stands out ‘ Consider it possible that you may be wrong ’ Once upon a time they said that the USA would fold without the slave trade … .;Confirm;certain;Deny;3;it was like I was a completely different baby afterwards 
Child-Health-Safety_20170626T115833;253;the HPA ;according to ;And with only 2 deaths from acute measles 1992 ;negative;And with only 2 deaths from acute measles [ according to the HPA ] since 1992 , that works out at a chance of 0.1 deaths per annum over the entire population of England and Wales – which is roughly 55 million – give or take for annual fluctuations etc.;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
Child-Health-Safety_20170626T115833;255;Cole ;as claims ;it does not predict no deaths ;positive;And as this is a logarithmic graph , it does not predict no deaths as Cole claims – so again either he is untruthful or ignorant or mathematically challenged or all of these .;Deny;certain;Deny;1;vaccines can cause autism 
Collective-Evolution_20170926T182201;2;a considerable amount of research ;declaring ;the need to look into this further ;negative;Over the past few decades , a considerable amount of research has emerged , published in various peer-reviewed journals , declaring the need to look into this further .;Confirm;certain;Confirm;5;you go see it if you can 
Collective-Evolution_20170926T182201;3;others ;claim ;that vaccines do not cause autism whatsoever ;positive;Some have said definitively that there is a considerable risk for autism , or autism-like features and other neurodegenerative diseases , while others claim , just as definitively that vaccines do not cause autism whatsoever .;Deny;certain;Deny;1;vaccines can cause autism 
Collective-Evolution_20170926T182201;4;many ;believe ;that this type of research even exists ;positive;One thing is for certain — the masses are unaware of the research showing a link between vaccines and autism , and in fact , many still do not believe that this type of research even exists .;Confirm;certain;Deny;2;others for every little thing 
Collective-Evolution_20170926T182201;43;vaccine manufacturers , pharmaceutical companies , and health authorities ;chose ;to withhold them from the public ;positive;There are also documents revealing that vaccine manufacturers , pharmaceutical companies , and health authorities have known about multiple dangers associated with vaccines but chose to withhold them from the public .;Confirm;certain;Confirm;4;the questions citizens of the world should be asking 
Couples-Resorts-Message-Board_20160822T123023;2;I ;wondering ;how necessary it is ;negative;I did n't even think of this so now I am wondering how necessary it is .;Confirm;certain;Deny;6;the quick response prevented the outbreak from getting worse 
Couples-Resorts-Message-Board_20160822T123023;11;who ;recommended ;the updated tetanus ;positive;I do agree though with all those who recommended the updated tetanus , always a good idea to keep that one up whether travelling or not and we did encounter some glass on the beach due to the recent storms back in October .;Confirm;certain;Deny;10;when they may get chickenpox vaccine 
Daily-Intelligencer_20160903T110638;4;the CDC ;declared ;measles had been eliminated in the U.S. ;negative;Fifteen years ago , the CDC declared measles had been eliminated in the U.S. — last year there were 644 cases nationwide .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
Daily-Intelligencer_20160903T110638;49;their trusted Dr. and Government ;reassured ;that was safe ;positive;Like the above comment says , people would be in panic and have no sense of control over their lives if they found out that their children were truly harmed by a vaccine that their trusted Dr. and Government reassured them that was safe and then have their 2 month old child die of S.I.D.S. shortly after .;Confirm;certain;Confirm;13;to get their children vaccinated 
Epilepsy-Foundation_20161027T230500;30;they ;said ;those will go away with time ;positive;when i mentioned this to the gp they said , those will go away with time .;Confirm;certain;Confirm;5;you go see it if you can 
Epilepsy-Foundation_20161027T230500;34;i ;sure ;this was n't going to go away ;negative;that 's when i was sure this was n't going to go away and requested an appointment ( very long waiting times to see a neurologist here ... ) .;Confirm;certain;Deny;5;you go see it if you can 
Epilepsy-Foundation_20161027T230500;56;I ;believe ;that this is what has triggered the seizures ;negative;I have not given her any more vaccines since then as I truly believe that this is what has triggered the seizures .;Confirm;uncertain;Deny;6;the quick response prevented the outbreak from getting worse 
Epilepsy-Foundation_20161027T230500;59;The Dr 's ;saying ;that the vaccines are the cause ;negative;The Dr 's will not even go there in saying that the vaccines are the cause , when I bring it up they just move on to something else .;Confirm;certain;Deny;1;vaccines can cause autism 
Epilepsy-Foundation_20161027T230500;60;they ;say ;well maybe ;negative;This is what is frustrating , ca n't they just say well maybe but that would mean going against the BIG Drug companies .;Confirm;uncertain;Deny;2;others for every little thing 
Epilepsy-Foundation_20161027T230500;62;that ;says ;they do n't cause Autism or any other problems ;negative;They say there is evidence that says they do n't cause Autism or any other problems , well I am sorry but you ca n't take a vaccine out of a child once they have been given it , so how can they prove this ?;Confirm;certain;Deny;1;vaccines can cause autism 
Epilepsy-Foundation_20161027T230500;74;He ;reassured ;that I was very healthy not worry about it ;negative;He reassured me that I was very healthy not worry about it .;Deny;certain;Deny;3;it was like I was a completely different baby afterwards 
Epilepsy-Foundation_20161027T230500;87;we all ;know ;that smoking must be healthy ;negative;Is it clear that the vaccine question can open up the possibility of litigation for damages and that threat may be such that the vaccines/industrial complex will use the tobacco industry approach : there is not a shred of evidence that tobacco causes health problems - why President Ronald Reagan even promoted the sales of Chesterfield cigarettes so we all know that smoking must be healthy , right ?;Confirm;certain;Deny;10;when they may get chickenpox vaccine 
Epilepsy-Foundation_20161027T230500;96;I ;believe ;vaccines can cause seizures ;negative;so this is my reason I do believe vaccines can cause seizures ... I wish this upon no one , no matter how mad they make me !!;Confirm;uncertain;Confirm;1;vaccines can cause autism 
Epilepsy-Foundation_20161027T230500;116;i ;know ;how scary , confusing , devastating it can be ;positive;i know how scary , confusing , devastating it can be .;Confirm;certain;Confirm;3;it was like I was a completely different baby afterwards 
Epilepsy-Foundation_20161027T230500;117;all doctors involved ;refuse ;to even discuss a possible connection ;negative;and when children like yours and mine have a seizure after a vaccination and then all doctors involved refuse to even discuss a possible connection , it is an outrage .;Confirm;certain;Confirm;5;you go see it if you can 
Epilepsy-Foundation_20161027T230500;120;the package insert of the shot my daughter received ;according to ;seizures ARE LISTED AS A SIDE EFFECT ;positive;according to the package insert of the shot my daughter received , seizures ARE LISTED AS A SIDE EFFECT .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
Epilepsy-Foundation_20161027T230500;122;they ;admit ;a connection ;negative;unfortunately , i beleive that no matter what doctor you see , they will never admit a connection due to liability .;Confirm;uncertain;Deny;14;that there is no evidence of a link 
Epilepsy-Foundation_20161027T230500;125;they ;discuss ;what has happened ;positive;they WILL discuss what has happened , and they do have treatments to help your child .;Confirm;uncertain;Confirm;3;it was like I was a completely different baby afterwards 
Epilepsy-Foundation_20161027T230500;184;Not one doctor ;asked ;about his vaccines ;negative;Not one doctor asked about his vaccines .;Confirm;certain;Deny;9;about his vaccines 
Epilepsy-Foundation_20161027T230500;185;not one doctor ;acknowledged ;it could his vaccines ;negative;To this day , not one doctor has acknowledged it could his vaccines .;Confirm;certain;Deny;9;about his vaccines 
Epilepsy-Foundation_20161027T230500;187;I ;know ;that is about children with Autism ;positive;I know that is about children with Autism but I was shocked by all the characteristics they have in common .;Confirm;certain;Confirm;1;vaccines can cause autism 
Epilepsy-Foundation_20161027T230500;199;I ;wondering ;if you had tried this type of method ? ;negative;I was wondering if you had tried this type of method ?;Confirm;uncertain;Confirm;2;others for every little thing 
Epilepsy-Foundation_20161027T230500;206;ER doc ;believe ;about the length of his seizures ;positive;It lasted over an hour and the attending ER doc did n't believe us about the length of his seizures .;Confirm;certain;Deny;1;vaccines can cause autism 
Epilepsy-Foundation_20161027T230500;208;the attending doctor ;said ;that vaccination shots could cause seizures ;positive;He was transferred to a city hospital ( we live in a small town ) and the attending doctor there said that vaccination shots could cause seizures .;Confirm;certain;Confirm;1;vaccines can cause autism 
Epilepsy-Foundation_20161027T230500;209;he ;said ;it was a virus that caused the seizure ;negative;Later , he change his story and said it was a virus that caused the seizure .;Confirm;certain;Confirm;6;the quick response prevented the outbreak from getting worse 
Epilepsy-Foundation_20161027T230500;210;another doctor ;said ;that vaccination shots could cause seizures ;negative;However , another doctor said that vaccination shots could cause seizures .;Confirm;certain;Confirm;1;vaccines can cause autism 
Epilepsy-Foundation_20161027T230500;211;another doctor ;said ;it was a febrile seizures ;positive;Then another doctor said it was a febrile seizures .;Confirm;certain;Confirm;1;vaccines can cause autism 
Epilepsy-Foundation_20161027T230500;212;5 different doctors ;agree ;on why he suffered a seizure ;negative;We spent 4 days in the hospital where 5 different doctors could n't agree on why he suffered a seizure .;Confirm;certain;Deny;6;the quick response prevented the outbreak from getting worse 
Epilepsy-Foundation_20161027T230500;216;the doctors ;admit ;it was the vaccination shots ;negative;Still the doctors would n't admit it was the vaccination shots .;Confirm;certain;Deny;10;when they may get chickenpox vaccine 
Epilepsy-Foundation_20161027T230500;217;I ;believe ;the damage is done ;negative;After his 2nd seizure I would n't allow my grandson to be vaccinated anymore but I believe the damage is done .;Confirm;certain;Deny;6;the quick response prevented the outbreak from getting worse 
Epilepsy-Foundation_20161027T230500;229;his pediatrician ;thinks ;there is a correlation ;negative;It amazes me and sadens me how neither his pediatrician or neurologist thinks there is a correlation .;Confirm;certain;Deny;14;that there is no evidence of a link 
Epilepsy-Foundation_20161027T230500;250;a letter from his physician ;explaining ;why the child does not receive the immunization ;negative;If there is any questions about that immunizations he does n't receive it and gets a letter from his physician explaining why the child does not receive the immunization .;Deny;certain;Deny;13;to get their children vaccinated 
Epilepsy-Foundation_20161027T230500;255;i ;know ;there was heaps of different types ;positive;id have to agree mine had her 6 month needles then the siezures started im only knew at this stuff and only found out to nights ago that she now has epilepsy i duno what sort of epilepsy as i didnt know there was heaps of different types shes now 2 years old and stil having them shes on epilim but makes her go crazy and uncontrolable i duno if its just the meds and docs are suggesting up the doasage;Confirm;certain;Deny;3;it was like I was a completely different baby afterwards 
Fox-News_20161029T114432;29;Offit ;said ;â All vaccines can cause mild side effects , â ;negative;“ All vaccines can cause mild side effects , ” Offit said .;Confirm;certain;Confirm;1;vaccines can cause autism 
